"","time","device_id","s_0","s_1","s_2","s_3","s_d0","s_t0","s_h0"
"77",2017-10-13 22:19:32,"781463DA0149A472",0,100,1,0,20,27.28,83
"78",2017-10-13 22:19:32,"781463DA0149B1A1",0,100,1,0,16,28.62,76
"79",2017-10-13 22:19:33,"781463DA0104F3E4",0,100,1,0,14,27.16,82
"80",2017-10-13 22:19:33,"781463DA0149AF90",0,100,1,0,22,25.29,87
"81",2017-10-13 22:19:33,"781463DA014AA885",0,100,1,0,19,26.94,83
"82",2017-10-13 22:19:35,"781463DA0104F429",0,100,1,0,9,24.95,88
"83",2017-10-13 22:19:41,"781463DA0104F20E",0,100,1,0,26,28.95,77
"84",2017-10-13 22:20:07,"781463DA0104F284",0,100,1,0,21,24.07,94
"85",2017-10-13 22:20:07,"781463DA0104F43D",0,100,1,0,8,27.63,82
"86",2017-10-13 22:20:17,"781463DA014AA88F",0,100,1,0,6,30.36,71
"87",2017-10-13 22:20:27,"28C2DDDD47CE",0,100,1,0,1,28.25,100
"88",2017-10-13 22:20:32,"781463DA0149A515",0,100,1,0,30,26.18,86
"89",2017-10-13 22:21:12,"781463DA0104F278",0,100,1,0,18,27.69,81
"90",2017-10-13 22:21:12,"781463DA0149B1EF",0,100,1,0,15,26.04,85
"91",2017-10-13 22:21:13,"28C2DDDD4566",0,100,1,0,8,27.5,100
"92",2017-10-13 22:21:13,"781463DA0104F3EA",0,100,1,0,9,28.19,77
"93",2017-10-13 22:21:13,"781463DA0104F695",0,100,1,0,17,25.65,89
"94",2017-10-13 22:21:14,"781463DA0149A786",0,100,1,0,25,26.09,87
"95",2017-10-13 22:21:14,"781463DA0149B3AD",0,100,1,0,18,25.46,90
"96",2017-10-13 22:21:15,"781463DA0149ABD3",0,100,1,0,0,26.28,59
"97",2017-10-13 22:21:19,"781463DA0104F34A",0,100,1,0,21,27.57,82
"98",2017-10-13 22:21:20,"781463DA0104F4E6",0,100,1,0,1,24.52,74
"99",2017-10-13 22:21:20,"781463DA0149A7BC",0,100,1,0,5,26.46,85
"100",2017-10-13 22:21:21,"781463DA0104F566",0,100,1,0,6,26.44,85
"101",2017-10-13 22:21:21,"781463DA0149A177",0,100,1,0,9,26.09,86
"102",2017-10-13 22:21:21,"781463DA0149B1C4",0,100,1,0,21,26.55,84
